lead_id,lead_name,lead_source,status,created_date,customer_id
259,Lead_259,Referral,Contacted,2024-05-27,225
260,Lead_260,Cold Call,New,2024-01-15,499
261,Lead_261,Email Campaign,Contacted,2024-12-29,82
262,Lead_262,Referral,New,2024-10-09,209
263,Lead_263,Website,Contacted,2024-02-28,237
264,Lead_264,Website,Contacted,2024-09-12,478
265,Lead_265,Referral,Qualified,2024-07-31,428
266,Lead_266,Cold Call,Lost,2024-05-04,234
267,Lead_267,Email Campaign,Contacted,2024-07-15,98
268,Lead_268,Email Campaign,Contacted,2024-02-05,142
269,Lead_269,Cold Call,Qualified,2024-09-16,137
270,Lead_270,Website,Qualified,2024-06-01,429
271,Lead_271,Email Campaign,Lost,2024-03-17,229
272,Lead_272,Email Campaign,Lost,2024-06-25,171
273,Lead_273,Email Campaign,Lost,2024-08-21,478
274,Lead_274,Referral,Contacted,2024-12-23,123
275,Lead_275,Email Campaign,Lost,2024-04-29,439
276,Lead_276,Cold Call,New,2024-06-11,382
277,Lead_277,Cold Call,Lost,2024-07-16,340
278,Lead_278,LinkedIn,Lost,2024-01-19,65
279,Lead_279,Email Campaign,Qualified,2024-02-21,448
280,Lead_280,Cold Call,New,2024-09-26,467
281,Lead_281,Cold Call,New,2024-03-14,210
282,Lead_282,LinkedIn,New,2024-08-28,401
283,Lead_283,Referral,Qualified,2024-11-15,355
284,Lead_284,Cold Call,New,2024-06-17,437
285,Lead_285,Email Campaign,Lost,2024-06-11,321
286,Lead_286,Cold Call,New,2024-11-12,36
287,Lead_287,LinkedIn,Qualified,2024-04-26,383
288,Lead_288,Website,Lost,2024-02-20,390
289,Lead_289,Website,Lost,2024-03-26,356
290,Lead_290,Referral,New,2024-01-24,167
291,Lead_291,Website,Qualified,2024-07-02,192
292,Lead_292,Cold Call,Contacted,2024-05-05,272
293,Lead_293,Cold Call,Contacted,2024-03-28,90
294,Lead_294,Website,Lost,2024-11-13,350
295,Lead_295,LinkedIn,Lost,2024-10-25,74
296,Lead_296,LinkedIn,Lost,2024-11-22,131
297,Lead_297,Cold Call,Qualified,2024-12-07,5
298,Lead_298,Cold Call,Qualified,2024-12-12,280
299,Lead_299,LinkedIn,New,2024-08-14,484
300,Lead_300,Referral,Qualified,2024-11-23,493
301,Lead_301,Cold Call,Qualified,2024-08-21,433
302,Lead_302,Referral,Contacted,2024-07-15,437
303,Lead_303,Cold Call,New,2024-05-01,196
304,Lead_304,Email Campaign,Qualified,2024-10-21,152
305,Lead_305,Referral,New,2024-12-03,203
306,Lead_306,Referral,New,2024-10-16,443
307,Lead_307,Website,Lost,2024-05-26,398
308,Lead_308,LinkedIn,Qualified,2024-04-22,326
309,Lead_309,LinkedIn,Qualified,2024-12-13,387
310,Lead_310,LinkedIn,New,2024-11-17,331
311,Lead_311,Website,Qualified,2024-08-13,18
312,Lead_312,Email Campaign,Qualified,2024-03-08,47
313,Lead_313,Referral,Qualified,2024-07-31,90
314,Lead_314,LinkedIn,Contacted,2024-10-03,449
315,Lead_315,Referral,Qualified,2024-03-25,132
316,Lead_316,Cold Call,Qualified,2024-06-22,412
317,Lead_317,Website,Lost,2024-02-08,73
318,Lead_318,LinkedIn,Lost,2024-10-12,188
319,Lead_319,Website,Lost,2024-01-08,136
320,Lead_320,Email Campaign,New,2024-08-20,189
321,Lead_321,Referral,Lost,2024-11-22,482
322,Lead_322,Referral,New,2024-12-11,120
323,Lead_323,Cold Call,New,2024-11-13,453
324,Lead_324,Email Campaign,Qualified,2024-11-08,114
325,Lead_325,Website,Lost,2024-12-24,155
326,Lead_326,Cold Call,New,2024-03-12,24
327,Lead_327,Website,Qualified,2024-09-09,60
328,Lead_328,Website,Contacted,2024-10-02,70
329,Lead_329,Cold Call,Lost,2024-07-08,344
330,Lead_330,Email Campaign,Lost,2024-10-27,381
331,Lead_331,LinkedIn,Lost,2024-12-01,51
332,Lead_332,Cold Call,Lost,2024-05-23,17
333,Lead_333,Referral,Contacted,2024-08-15,228
334,Lead_334,LinkedIn,Qualified,2024-02-20,352
335,Lead_335,Referral,Qualified,2024-02-01,204
336,Lead_336,Referral,Contacted,2024-03-03,486
337,Lead_337,Cold Call,New,2024-12-05,109
338,Lead_338,Email Campaign,New,2024-01-26,403
339,Lead_339,Referral,Contacted,2024-03-05,403
340,Lead_340,Email Campaign,Contacted,2024-02-05,425
341,Lead_341,Email Campaign,Contacted,2024-10-27,111
342,Lead_342,LinkedIn,Qualified,2024-03-16,404
343,Lead_343,Email Campaign,New,2024-05-21,440
344,Lead_344,LinkedIn,Contacted,2024-10-03,129
345,Lead_345,LinkedIn,New,2024-12-04,444
346,Lead_346,Website,Contacted,2024-01-08,184
347,Lead_347,LinkedIn,Qualified,2024-01-09,90
348,Lead_348,Referral,New,2024-03-05,380
349,Lead_349,Cold Call,New,2024-02-02,244
350,Lead_350,Cold Call,Qualified,2024-09-19,304
351,Lead_351,Website,Lost,2024-09-14,114
352,Lead_352,Email Campaign,New,2024-12-03,267
353,Lead_353,Referral,Lost,2024-11-25,494
354,Lead_354,Website,New,2024-09-02,434
355,Lead_355,Cold Call,Lost,2024-12-17,56
356,Lead_356,Cold Call,Lost,2024-02-07,461
357,Lead_357,Website,Qualified,2024-11-07,76
358,Lead_358,Website,Contacted,2024-05-20,320
359,Lead_359,Email Campaign,Qualified,2024-07-14,306
360,Lead_360,Email Campaign,Qualified,2024-08-20,259
361,Lead_361,Email Campaign,Lost,2024-02-20,407
362,Lead_362,Website,Contacted,2024-08-08,232
363,Lead_363,LinkedIn,Lost,2024-06-22,424
364,Lead_364,Cold Call,Lost,2024-07-31,374
365,Lead_365,Website,Qualified,2024-08-06,161
366,Lead_366,Referral,Qualified,2024-03-19,352
367,Lead_367,Cold Call,New,2024-02-16,426
368,Lead_368,Website,New,2024-08-09,50
369,Lead_369,Referral,Contacted,2024-10-11,31
370,Lead_370,Email Campaign,Qualified,2024-12-09,63
371,Lead_371,Cold Call,Qualified,2024-12-06,482
372,Lead_372,Cold Call,New,2024-05-27,308
373,Lead_373,Referral,Qualified,2024-02-23,296
374,Lead_374,Email Campaign,Contacted,2024-03-20,337
375,Lead_375,Cold Call,Contacted,2024-02-25,180
376,Lead_376,Email Campaign,Qualified,2024-02-28,391
377,Lead_377,Referral,Contacted,2024-08-07,433
378,Lead_378,Email Campaign,New,2024-11-07,476
379,Lead_379,Referral,New,2024-04-02,140
380,Lead_380,Referral,Qualified,2024-06-28,4
381,Lead_381,LinkedIn,Contacted,2024-10-16,337
382,Lead_382,Cold Call,New,2024-03-13,380
383,Lead_383,Website,New,2024-09-28,111
384,Lead_384,Cold Call,Lost,2024-08-20,175
385,Lead_385,LinkedIn,Qualified,2024-06-08,370
386,Lead_386,Referral,New,2024-01-27,80
387,Lead_387,LinkedIn,New,2024-12-11,42
388,Lead_388,Referral,Lost,2024-12-04,218
389,Lead_389,Cold Call,Lost,2024-07-31,140
390,Lead_390,LinkedIn,New,2024-06-25,221
391,Lead_391,Website,Qualified,2024-12-13,348
392,Lead_392,Email Campaign,Lost,2024-09-26,342
393,Lead_393,Referral,New,2024-04-22,203
394,Lead_394,Email Campaign,New,2024-01-04,105
395,Lead_395,Referral,Contacted,2024-03-11,392
396,Lead_396,Referral,Qualified,2024-06-16,62
397,Lead_397,Website,Lost,2024-08-08,90
398,Lead_398,LinkedIn,Lost,2024-09-29,361
399,Lead_399,LinkedIn,Qualified,2024-02-06,204
400,Lead_400,Website,Lost,2024-01-10,236
401,Lead_401,Website,Qualified,2024-10-21,220
402,Lead_402,Email Campaign,Lost,2024-12-29,328
403,Lead_403,Cold Call,Qualified,2024-02-28,208
404,Lead_404,Website,Qualified,2024-03-28,411
405,Lead_405,Email Campaign,Lost,2024-12-19,471
406,Lead_406,Referral,New,2024-08-11,433
407,Lead_407,Website,Contacted,2024-08-11,302
408,Lead_408,Cold Call,New,2024-07-21,446
409,Lead_409,Referral,Qualified,2024-04-23,171
410,Lead_410,LinkedIn,New,2024-09-18,325
411,Lead_411,Website,Contacted,2024-06-27,180
412,Lead_412,LinkedIn,Contacted,2024-02-22,75
413,Lead_413,Referral,Contacted,2024-03-29,309
414,Lead_414,LinkedIn,New,2024-03-31,488
415,Lead_415,Cold Call,Lost,2024-10-15,390
416,Lead_416,Email Campaign,Lost,2024-12-14,474
417,Lead_417,Email Campaign,Qualified,2024-11-17,162
418,Lead_418,LinkedIn,Lost,2024-02-04,241
419,Lead_419,Cold Call,Qualified,2024-05-20,303
420,Lead_420,Website,Qualified,2024-09-16,38
421,Lead_421,Referral,Lost,2024-08-19,20
422,Lead_422,Website,Qualified,2024-05-26,40
423,Lead_423,Website,Lost,2024-08-24,298
424,Lead_424,Email Campaign,New,2024-08-18,466
425,Lead_425,Email Campaign,Contacted,2024-06-13,310
426,Lead_426,Cold Call,Contacted,2024-02-01,231
427,Lead_427,Website,Qualified,2024-12-31,44
428,Lead_428,Email Campaign,Contacted,2024-01-21,127
429,Lead_429,Cold Call,Lost,2024-09-25,268
430,Lead_430,Email Campaign,Contacted,2024-07-05,191
431,Lead_431,Referral,Lost,2024-07-28,397
432,Lead_432,Referral,New,2024-11-19,332
433,Lead_433,Referral,New,2024-06-17,49
434,Lead_434,Email Campaign,Lost,2024-05-25,130
435,Lead_435,Email Campaign,Contacted,2024-06-19,42
436,Lead_436,Email Campaign,Contacted,2024-06-28,159
437,Lead_437,Cold Call,Contacted,2024-10-31,363
438,Lead_438,Website,Qualified,2024-10-13,193
439,Lead_439,Referral,Contacted,2024-12-09,360
440,Lead_440,Email Campaign,New,2024-11-26,344
441,Lead_441,Cold Call,Qualified,2024-01-10,186
442,Lead_442,Referral,Contacted,2024-04-19,175
443,Lead_443,Cold Call,Contacted,2024-04-25,71
444,Lead_444,LinkedIn,New,2024-05-31,433
445,Lead_445,Website,New,2024-12-04,173
446,Lead_446,Email Campaign,Contacted,2024-11-01,193
447,Lead_447,LinkedIn,Contacted,2024-04-02,426
448,Lead_448,Email Campaign,Contacted,2024-08-12,23
449,Lead_449,Cold Call,Qualified,2024-12-12,369
450,Lead_450,LinkedIn,Lost,2024-11-08,146
451,Lead_451,Cold Call,Contacted,2024-09-30,123
452,Lead_452,Referral,Lost,2024-04-09,189
453,Lead_453,Email Campaign,Lost,2024-08-24,394
454,Lead_454,Referral,Lost,2024-09-14,271
455,Lead_455,Cold Call,Contacted,2024-04-12,411
456,Lead_456,Email Campaign,Contacted,2024-05-08,27
457,Lead_457,Cold Call,Qualified,2024-10-10,479
458,Lead_458,Website,New,2024-05-25,43
459,Lead_459,LinkedIn,Qualified,2024-08-18,464
460,Lead_460,Email Campaign,Contacted,2024-08-11,47
461,Lead_461,LinkedIn,Lost,2024-06-27,477
462,Lead_462,Website,Lost,2024-01-28,203
463,Lead_463,Email Campaign,Qualified,2024-04-30,198
464,Lead_464,Website,Qualified,2024-04-24,15
465,Lead_465,Referral,New,2024-12-31,333
466,Lead_466,Referral,Contacted,2024-03-11,20
467,Lead_467,Referral,Lost,2024-12-22,426
468,Lead_468,LinkedIn,Lost,2024-08-17,316
469,Lead_469,Website,New,2024-01-10,132
470,Lead_470,LinkedIn,Contacted,2024-10-07,482
471,Lead_471,Email Campaign,Lost,2024-02-26,398
472,Lead_472,Referral,Contacted,2024-06-03,63
473,Lead_473,Website,Contacted,2024-08-02,328
474,Lead_474,Email Campaign,Lost,2024-02-02,57
475,Lead_475,Cold Call,New,2024-11-19,264
476,Lead_476,Email Campaign,Contacted,2024-03-14,150
477,Lead_477,Cold Call,New,2024-11-10,181
478,Lead_478,LinkedIn,Lost,2024-04-05,341
479,Lead_479,Website,Qualified,2024-02-04,489
480,Lead_480,Email Campaign,New,2024-07-18,448
481,Lead_481,Cold Call,New,2024-11-21,199
482,Lead_482,Referral,Qualified,2024-01-09,183
483,Lead_483,Website,Qualified,2024-05-03,376
484,Lead_484,Website,Qualified,2024-03-09,23
485,Lead_485,Referral,Qualified,2024-11-25,90
486,Lead_486,Cold Call,Lost,2024-11-19,94
487,Lead_487,LinkedIn,New,2024-08-22,19
488,Lead_488,Referral,Contacted,2024-01-23,406
489,Lead_489,LinkedIn,New,2024-06-10,478
490,Lead_490,Referral,Lost,2024-10-05,243
491,Lead_491,Referral,New,2024-11-27,98
492,Lead_492,Referral,Qualified,2024-01-25,444
493,Lead_493,Referral,Qualified,2024-03-04,410
494,Lead_494,Referral,Lost,2024-07-23,381
495,Lead_495,Cold Call,Lost,2024-06-22,499
496,Lead_496,LinkedIn,Lost,2024-12-20,255
497,Lead_497,Referral,Qualified,2024-02-12,373
498,Lead_498,Cold Call,New,2024-08-08,309
499,Lead_499,LinkedIn,Qualified,2024-06-13,53
500,Lead_500,Website,Qualified,2024-12-04,152
501,Lead_501,Referral,Lost,2024-11-04,368
502,Lead_502,Cold Call,Contacted,2024-12-19,228
503,Lead_503,Referral,Lost,2024-01-22,373
504,Lead_504,Referral,Lost,2024-05-20,328
505,Lead_505,Website,New,2024-12-09,327
506,Lead_506,Cold Call,Qualified,2024-09-19,411
507,Lead_507,LinkedIn,New,2024-03-14,435
508,Lead_508,Email Campaign,Lost,2024-01-18,65
509,Lead_509,Website,Contacted,2024-11-26,188
510,Lead_510,Referral,Lost,2024-10-17,17
511,Lead_511,Email Campaign,Contacted,2024-12-13,231
512,Lead_512,Referral,Qualified,2024-08-15,391
513,Lead_513,Website,Contacted,2024-09-28,188
514,Lead_514,Cold Call,Qualified,2024-11-28,143
515,Lead_515,LinkedIn,New,2024-01-14,377
516,Lead_516,LinkedIn,Lost,2024-09-22,199
517,Lead_517,Email Campaign,New,2024-05-14,397
518,Lead_518,Referral,Lost,2024-04-19,314
519,Lead_519,Referral,Lost,2024-04-12,63
520,Lead_520,LinkedIn,New,2024-08-19,89
521,Lead_521,Cold Call,New,2024-12-15,496
522,Lead_522,Referral,Qualified,2024-12-29,34
523,Lead_523,Email Campaign,Qualified,2024-06-02,436
524,Lead_524,LinkedIn,Contacted,2024-07-04,261
525,Lead_525,LinkedIn,New,2024-04-12,406
526,Lead_526,LinkedIn,Contacted,2024-09-09,14
