activity_id,activity_type,activity_date,lead_id,notes
98,Email,2024-05-01,1332,Product demo scheduled
99,Demo,2024-01-13,1470,Client discussion
100,Demo,2024-12-08,2033,Client discussion
101,Email,2024-12-25,886,Proposal review
102,Call,2024-08-28,1823,Product demo scheduled
103,Demo,2024-06-28,2501,Product demo scheduled
104,Email,2024-01-13,1583,Proposal review
105,Meeting,2024-05-22,569,Client discussion
106,Meeting,2024-11-24,4174,Proposal review
107,Meeting,2024-01-15,945,Client discussion
108,Email,2024-10-24,2175,Follow-up call
109,Call,2024-11-01,3560,Client discussion
110,Meeting,2024-08-11,4967,Email sent
111,Call,2024-07-16,4724,Product demo scheduled
112,Meeting,2024-01-23,3573,Follow-up call
113,Email,2024-07-05,3534,Follow-up call
114,Meeting,2024-11-15,2572,Follow-up call
115,Meeting,2024-09-16,2534,Proposal review
116,Meeting,2024-07-25,2423,Email sent
117,Email,2024-04-08,3445,Proposal review
118,Email,2024-11-11,4663,Client discussion
119,Demo,2024-10-07,4,Client discussion
120,Meeting,2024-04-17,3522,Email sent
121,Meeting,2024-08-26,3620,Proposal review
122,Email,2024-09-18,3877,Product demo scheduled
123,Call,2024-05-25,4223,Email sent
124,Meeting,2024-02-17,1925,Client discussion
125,Email,2024-04-11,1208,Follow-up call
126,Call,2024-05-05,3893,Email sent
127,Call,2024-08-21,3396,Email sent
128,Email,2024-12-22,3146,Proposal review
129,Demo,2024-05-04,1209,Follow-up call
130,Call,2024-08-05,1793,Product demo scheduled
131,Demo,2024-01-26,4567,Product demo scheduled
132,Call,2024-08-21,1093,Proposal review
133,Meeting,2024-08-14,4136,Proposal review
134,Demo,2024-03-22,3889,Proposal review
135,Meeting,2024-05-06,2272,Email sent
136,Demo,2024-11-16,1960,Client discussion
137,Demo,2024-02-09,2341,Product demo scheduled
138,Meeting,2024-06-20,2620,Email sent
139,Call,2024-03-11,1236,Product demo scheduled
140,Demo,2024-12-21,1252,Product demo scheduled
141,Call,2024-07-31,3340,Client discussion
142,Demo,2024-07-31,511,Product demo scheduled
143,Demo,2024-07-18,4785,Follow-up call
144,Demo,2024-09-01,49,Client discussion
145,Meeting,2024-07-18,3433,Email sent
146,Email,2024-09-06,1798,Client discussion
147,Demo,2024-09-05,238,Proposal review
148,Meeting,2024-12-08,3313,Product demo scheduled
149,Demo,2024-03-06,4376,Follow-up call
150,Demo,2024-10-30,4624,Follow-up call
151,Call,2024-11-25,3512,Product demo scheduled
152,Demo,2024-04-03,412,Client discussion
153,Demo,2024-06-16,1734,Proposal review
154,Meeting,2024-06-21,3106,Client discussion
155,Demo,2024-05-09,671,Proposal review
156,Call,2024-10-03,427,Client discussion
157,Email,2024-11-28,563,Follow-up call
158,Call,2024-05-06,1634,Follow-up call
159,Email,2024-05-02,1035,Proposal review
160,Call,2024-10-15,1786,Proposal review
161,Meeting,2024-07-07,1375,Email sent
162,Call,2024-03-24,2549,Follow-up call
163,Call,2024-06-08,4717,Proposal review
164,Demo,2024-04-11,623,Email sent
165,Email,2024-02-22,2471,Email sent
166,Call,2024-10-16,337,Client discussion
167,Demo,2024-12-04,3036,Follow-up call
168,Meeting,2024-01-07,3442,Proposal review
169,Call,2024-08-09,2968,Proposal review
170,Email,2024-08-10,1443,Email sent
171,Meeting,2024-11-11,4409,Proposal review
172,Demo,2024-08-11,4854,Client discussion
173,Meeting,2024-05-05,710,Client discussion
174,Demo,2024-05-04,3807,Email sent
175,Demo,2024-06-21,236,Proposal review
176,Meeting,2024-04-03,3995,Product demo scheduled
177,Meeting,2024-05-12,2789,Client discussion
178,Meeting,2024-10-11,84,Email sent
179,Email,2024-02-13,1978,Proposal review
180,Demo,2024-10-11,1969,Proposal review
181,Demo,2024-08-17,142,Follow-up call
182,Meeting,2024-04-23,3313,Product demo scheduled
183,Meeting,2024-12-05,4765,Client discussion
184,Demo,2024-10-10,4350,Client discussion
185,Demo,2024-10-08,2710,Client discussion
186,Demo,2024-05-18,2512,Client discussion
187,Email,2024-03-02,1578,Client discussion
188,Call,2024-10-01,1517,Product demo scheduled
189,Email,2024-09-04,2266,Email sent
190,Meeting,2024-02-21,1591,Client discussion
191,Email,2024-07-03,1470,Client discussion
192,Call,2024-12-28,4376,Product demo scheduled
193,Meeting,2024-01-24,447,Email sent
194,Meeting,2024-12-23,1035,Proposal review
195,Call,2024-01-07,4703,Client discussion
196,Demo,2024-09-02,3609,Client discussion
197,Email,2024-01-27,2069,Proposal review
198,Call,2024-02-03,3283,Proposal review
199,Call,2024-10-22,440,Product demo scheduled
200,Email,2024-10-15,2490,Follow-up call
201,Email,2024-03-01,4572,Proposal review
202,Email,2024-09-24,3117,Proposal review
203,Demo,2024-06-01,4822,Proposal review
204,Meeting,2024-10-18,494,Email sent
205,Call,2024-04-16,1729,Client discussion
206,Call,2024-03-21,1965,Product demo scheduled
207,Call,2024-03-21,22,Proposal review
208,Demo,2024-12-18,4865,Proposal review
209,Meeting,2024-01-17,1897,Client discussion
210,Meeting,2024-12-25,3720,Follow-up call
211,Email,2024-05-15,4832,Product demo scheduled
212,Demo,2024-02-28,4462,Product demo scheduled
213,Email,2024-05-16,1166,Follow-up call
214,Call,2024-03-25,2520,Email sent
215,Meeting,2024-08-12,1019,Proposal review
216,Meeting,2024-12-24,3298,Client discussion
217,Demo,2024-08-12,659,Email sent
218,Call,2024-08-09,2641,Email sent
219,Meeting,2024-01-14,749,Product demo scheduled
220,Call,2024-12-10,2208,Email sent
221,Call,2024-03-30,3855,Email sent
222,Demo,2024-05-22,1487,Email sent
223,Demo,2024-11-21,4029,Follow-up call
224,Demo,2024-06-27,3346,Client discussion
225,Meeting,2024-12-09,857,Product demo scheduled
226,Meeting,2024-07-29,4059,Client discussion
227,Demo,2024-10-08,301,Proposal review
228,Call,2024-06-10,2068,Client discussion
229,Call,2024-07-25,4216,Follow-up call
230,Demo,2024-07-30,445,Product demo scheduled
231,Meeting,2024-11-14,4084,Proposal review
232,Call,2024-04-14,2188,Email sent
233,Email,2024-05-27,3590,Proposal review
234,Call,2024-01-15,4988,Product demo scheduled
235,Email,2024-06-08,4513,Follow-up call
236,Demo,2024-02-17,1841,Follow-up call
237,Demo,2024-03-01,1262,Proposal review
238,Meeting,2024-09-17,2240,Proposal review
239,Demo,2024-08-29,1997,Proposal review
240,Email,2024-07-15,1562,Email sent
241,Email,2024-02-05,2264,Proposal review
242,Meeting,2024-09-16,2189,Follow-up call
243,Meeting,2024-06-01,4809,Email sent
244,Demo,2024-03-17,3659,Email sent
245,Demo,2024-06-25,2724,Email sent
246,Demo,2024-08-21,2637,Product demo scheduled
247,Email,2024-10-19,3138,Product demo scheduled
248,Demo,2024-01-23,2607,Proposal review
249,Demo,2024-07-16,1247,Proposal review
250,Call,2024-03-05,4115,Email sent
251,Meeting,2024-02-21,3607,Follow-up call
252,Demo,2024-01-08,1181,Proposal review
253,Email,2024-02-08,3847,Client discussion
254,Meeting,2024-11-15,3257,Follow-up call
255,Meeting,2024-12-11,4372,Proposal review
256,Meeting,2024-11-16,3998,Email sent
257,Call,2024-11-12,561,Product demo scheduled
258,Meeting,2024-04-26,741,Proposal review
259,Call,2024-11-20,824,Proposal review
260,Email,2024-12-21,2454,Follow-up call
261,Call,2024-06-15,460,Client discussion
262,Meeting,2024-07-10,3529,Product demo scheduled
263,Email,2024-09-28,3376,Email sent
264,Email,2024-03-28,1435,Follow-up call
265,Demo,2024-11-13,1973,Proposal review
266,Email,2024-04-28,3778,Client discussion
267,Demo,2024-05-10,77,Proposal review
268,Meeting,2024-12-12,4478,Product demo scheduled
269,Call,2024-08-14,2831,Email sent
270,Meeting,2024-11-23,3476,Client discussion
271,Demo,2024-06-03,1632,Proposal review
272,Demo,2024-02-24,1944,Proposal review
273,Meeting,2024-10-21,2424,Client discussion
274,Call,2024-12-03,3243,Client discussion
275,Call,2024-10-16,402,Email sent
276,Demo,2024-05-26,1886,Email sent
277,Meeting,2024-04-22,1558,Email sent
278,Meeting,2024-12-13,1121,Follow-up call
279,Call,2024-06-07,3612,Follow-up call
280,Meeting,2024-03-08,739,Client discussion
281,Meeting,2024-07-31,1439,Product demo scheduled
282,Email,2024-10-03,2998,Email sent
283,Meeting,2024-03-25,2106,Proposal review
284,Meeting,2024-06-22,944,Proposal review
285,Call,2024-03-13,1849,Proposal review
286,Meeting,2024-02-16,3233,Follow-up call
287,Meeting,2024-10-01,1013,Proposal review
288,Meeting,2024-12-10,2148,Email sent
289,Demo,2024-11-22,3044,Follow-up call
290,Email,2024-08-29,206,Email sent
291,Meeting,2024-11-08,1814,Follow-up call
292,Demo,2024-12-24,2476,Proposal review
293,Call,2024-03-12,372,Follow-up call
294,Meeting,2024-09-09,952,Follow-up call
295,Email,2024-10-02,1112,Proposal review
296,Demo,2024-07-08,4426,Proposal review
297,Email,2024-07-31,812,Proposal review
298,Demo,2024-05-23,269,Client discussion
299,Email,2024-08-15,3643,Product demo scheduled
300,Meeting,2024-02-20,3010,Email sent
301,Meeting,2024-02-01,3262,Client discussion
302,Email,2024-03-03,3726,Follow-up call
303,Email,2024-11-24,4892,Follow-up call
304,Call,2024-06-19,1996,Product demo scheduled
305,Email,2024-02-05,4541,Product demo scheduled
306,Email,2024-04-29,2692,Product demo scheduled
307,Call,2024-05-21,1186,Product demo scheduled
308,Meeting,2024-03-30,901,Follow-up call
309,Email,2024-01-08,2935,Product demo scheduled
310,Meeting,2024-01-09,1428,Client discussion
311,Call,2024-03-05,3449,Email sent
312,Call,2024-02-02,3902,Proposal review
313,Meeting,2024-09-19,4864,Follow-up call
314,Demo,2024-09-14,1815,Email sent
315,Call,2024-12-03,4272,Client discussion
316,Demo,2024-11-25,256,Follow-up call
317,Demo,2024-07-24,3493,Follow-up call
318,Demo,2024-12-30,3634,Follow-up call
319,Call,2024-06-13,4984,Product demo scheduled
320,Call,2024-03-05,2253,Email sent
321,Meeting,2024-07-14,4894,Email sent
322,Meeting,2024-08-20,4142,Email sent
323,Demo,2024-02-20,938,Email sent
324,Email,2024-08-08,3700,Product demo scheduled
325,Demo,2024-06-22,3716,Proposal review
326,Demo,2024-02-18,2561,Proposal review
327,Meeting,2024-12-06,2089,Client discussion
328,Email,2024-12-17,3886,Follow-up call
329,Call,2024-02-13,764,Proposal review
330,Call,2024-07-09,1066,Email sent
331,Call,2024-10-27,4601,Email sent
332,Meeting,2024-12-09,1002,Proposal review
333,Meeting,2024-12-06,3465,Follow-up call
334,Meeting,2024-11-03,2560,Client discussion
335,Call,2024-10-22,4157,Product demo scheduled
336,Email,2024-12-02,3951,Product demo scheduled
337,Call,2024-06-28,4557,Client discussion
338,Call,2024-05-22,4704,Product demo scheduled
339,Demo,2024-10-14,4561,Follow-up call
340,Meeting,2024-01-15,1478,Client discussion
341,Meeting,2024-06-22,2876,Follow-up call
342,Email,2024-03-14,4640,Proposal review
343,Call,2024-03-13,252,Follow-up call
344,Email,2024-07-11,3440,Proposal review
345,Meeting,2024-03-21,3032,Client discussion
346,Meeting,2024-10-17,4885,Follow-up call
347,Call,2024-03-20,1290,Email sent
348,Call,2024-12-11,669,Client discussion
349,Demo,2024-12-04,3474,Proposal review
350,Demo,2024-07-31,2238,Product demo scheduled
351,Call,2024-06-25,3522,Follow-up call
352,Meeting,2024-12-13,4859,Proposal review
353,Meeting,2024-01-24,1807,Proposal review
354,Call,2024-01-04,1675,Client discussion
355,Email,2024-03-11,2094,Client discussion
356,Meeting,2024-03-02,64,Proposal review
357,Demo,2024-03-30,1059,Proposal review
358,Email,2024-09-13,4578,Client discussion
359,Call,2024-07-22,347,Proposal review
360,Call,2024-08-23,638,Client discussion
361,Demo,2024-10-20,3314,Proposal review
362,Meeting,2024-02-28,3319,Follow-up call
363,Meeting,2024-03-28,3770,Client discussion
364,Call,2024-08-11,868,Product demo scheduled
365,Demo,2024-10-28,3281,Email sent
366,Call,2024-07-21,2542,Client discussion
367,Email,2024-06-19,1378,Follow-up call
368,Call,2024-09-28,4178,Product demo scheduled
369,Meeting,2024-06-28,1210,Product demo scheduled
370,Call,2024-03-15,2097,Product demo scheduled
371,Email,2024-11-04,1253,Follow-up call
372,Email,2024-11-17,4048,Proposal review
373,Demo,2024-12-14,4625,Email sent
374,Meeting,2024-11-17,2590,Product demo scheduled
375,Demo,2024-02-04,3842,Proposal review
376,Meeting,2024-05-20,4845,Follow-up call
377,Meeting,2024-09-16,608,Client discussion
378,Demo,2024-08-19,309,Follow-up call
379,Meeting,2024-05-26,629,Follow-up call
380,Demo,2024-08-24,4755,Email sent
381,Call,2024-08-18,4684,Product demo scheduled
382,Meeting,2024-11-05,3897,Email sent
383,Email,2024-02-01,3691,Follow-up call
384,Meeting,2024-12-31,691,Email sent
385,Email,2024-01-21,2030,Proposal review
386,Demo,2024-09-25,4283,Email sent
387,Email,2024-07-05,3055,Client discussion
388,Demo,2024-07-28,2772,Email sent
389,Call,2024-11-19,2742,Follow-up call
390,Meeting,2024-02-18,4571,Proposal review
391,Meeting,2024-05-09,4938,Product demo scheduled
392,Meeting,2024-02-11,4774,Product demo scheduled
393,Meeting,2024-06-07,3211,Product demo scheduled
394,Call,2024-06-07,4579,Proposal review
395,Meeting,2024-03-06,4313,Follow-up call
396,Demo,2024-09-17,2965,Follow-up call
397,Meeting,2024-06-07,1477,Product demo scheduled
398,Meeting,2024-09-05,1573,Product demo scheduled
399,Email,2024-03-20,633,Client discussion
400,Call,2024-09-16,4422,Email sent
401,Call,2024-12-04,2759,Email sent
402,Email,2024-11-01,3087,Product demo scheduled
403,Email,2024-04-02,1357,Proposal review
404,Call,2024-07-29,2985,Product demo scheduled
405,Demo,2024-11-08,2335,Proposal review
406,Email,2024-09-30,1960,Client discussion
407,Demo,2024-04-09,3014,Email sent
408,Demo,2024-08-24,2309,Proposal review
409,Demo,2024-03-23,1636,Email sent
410,Email,2024-05-08,428,Proposal review
411,Meeting,2024-10-10,841,Email sent
412,Call,2024-05-25,688,Product demo scheduled
413,Meeting,2024-08-18,4206,Product demo scheduled
414,Demo,2024-02-16,1819,Proposal review
415,Meeting,2024-01-14,3399,Follow-up call
416,Demo,2024-09-14,3064,Product demo scheduled
417,Demo,2024-02-11,3072,Product demo scheduled
418,Call,2024-06-12,812,Client discussion
419,Email,2024-03-11,314,Client discussion
420,Demo,2024-12-22,1137,Proposal review
421,Demo,2024-11-11,44,Follow-up call
422,Call,2024-05-11,1767,Product demo scheduled
423,Demo,2024-02-26,2361,Product demo scheduled
424,Meeting,2024-03-03,392,Product demo scheduled
425,Demo,2024-11-23,3745,Follow-up call
426,Call,2024-09-12,4889,Email sent
427,Call,2024-11-19,4222,Email sent
428,Email,2024-03-14,2387,Proposal review
429,Call,2024-11-10,2891,Product demo scheduled
430,Demo,2024-04-05,702,Email sent
431,Meeting,2024-02-04,4310,Email sent
432,Call,2024-07-18,3852,Follow-up call
433,Demo,2024-07-10,2078,Follow-up call
434,Meeting,2024-02-04,2825,Product demo scheduled
435,Call,2024-10-24,2724,Product demo scheduled
436,Call,2024-06-29,4473,Client discussion
437,Email,2024-12-16,3807,Proposal review
438,Email,2024-03-10,517,Proposal review
439,Call,2024-05-30,1652,Follow-up call
440,Email,2024-01-22,2586,Client discussion
441,Demo,2024-10-05,3879,Client discussion
442,Call,2024-11-27,1566,Client discussion
443,Meeting,2024-01-25,2720,Client discussion
444,Call,2024-07-07,3580,Proposal review
445,Demo,2024-07-16,2778,Product demo scheduled
446,Demo,2024-12-20,4076,Client discussion
447,Meeting,2024-02-12,3478,Follow-up call
448,Demo,2024-11-04,1479,Email sent
449,Meeting,2024-06-13,841,Follow-up call
450,Meeting,2024-12-04,2422,Client discussion
451,Demo,2024-11-04,3491,Product demo scheduled
452,Demo,2024-06-28,3663,Follow-up call
453,Meeting,2024-11-10,3564,Client discussion
454,Call,2024-02-08,3328,Client discussion
455,Email,2024-01-16,1170,Email sent
456,Demo,2024-01-18,1035,Follow-up call
457,Email,2024-11-26,3001,Client discussion
458,Demo,2024-10-17,266,Email sent
459,Email,2024-12-13,3686,Client discussion
460,Meeting,2024-08-15,630,Email sent
461,Email,2024-09-28,3007,Proposal review
462,Meeting,2024-11-28,2284,Product demo scheduled
463,Call,2024-01-14,1525,Proposal review
464,Demo,2024-10-14,965,Client discussion
465,Meeting,2024-12-26,3656,Product demo scheduled
466,Meeting,2024-12-21,4024,Product demo scheduled
467,Call,2024-03-10,607,Proposal review
468,Email,2024-12-31,3647,Follow-up call
469,Meeting,2024-12-07,2847,Follow-up call
470,Meeting,2024-06-02,1291,Product demo scheduled
471,Meeting,2024-09-17,1837,Follow-up call
472,Email,2024-03-12,1940,Proposal review
473,Call,2024-07-03,4539,Email sent
474,Meeting,2024-08-27,4520,Product demo scheduled
475,Call,2024-02-03,2534,Proposal review
476,Demo,2024-09-26,3366,Proposal review
477,Call,2024-03-05,2598,Follow-up call
478,Demo,2024-08-26,4239,Client discussion
479,Email,2024-10-09,4816,Product demo scheduled
480,Email,2024-08-09,4120,Follow-up call
481,Call,2024-09-22,1254,Client discussion
482,Email,2024-03-23,2644,Product demo scheduled
483,Meeting,2024-09-22,2327,Follow-up call
484,Meeting,2024-04-10,4513,Client discussion
485,Email,2024-11-16,2481,Email sent
486,Call,2024-09-14,1382,Email sent
487,Email,2024-03-28,4958,Client discussion
488,Call,2024-01-15,666,Follow-up call
489,Meeting,2024-11-29,1727,Email sent
490,Demo,2024-11-12,249,Proposal review
491,Meeting,2024-11-24,2475,Proposal review
492,Email,2024-12-16,3327,Client discussion
493,Demo,2024-02-07,491,Product demo scheduled
494,Demo,2024-07-31,3967,Proposal review
495,Email,2024-06-23,4970,Product demo scheduled
496,Meeting,2024-06-12,2830,Proposal review
497,Email,2024-07-08,4219,Email sent
498,Call,2024-06-12,1981,Proposal review
499,Call,2024-05-16,3684,Product demo scheduled
500,Email,2024-02-19,415,Client discussion
501,Demo,2024-11-11,3426,Product demo scheduled
502,Email,2024-06-16,4733,Client discussion
503,Email,2024-03-22,4082,Email sent
504,Demo,2024-09-12,2528,Proposal review
505,Call,2024-02-16,3222,Email sent
506,Demo,2024-05-03,1763,Email sent
507,Meeting,2024-01-25,415,Client discussion
508,Demo,2024-11-01,3856,Client discussion
509,Call,2024-02-25,3531,Product demo scheduled
510,Meeting,2024-07-06,3304,Client discussion
511,Call,2024-07-24,420,Email sent
512,Email,2024-07-04,4533,Client discussion
513,Call,2024-07-16,4131,Proposal review
514,Meeting,2024-11-15,974,Product demo scheduled
515,Call,2024-07-20,3058,Client discussion
516,Meeting,2024-03-14,1631,Email sent
517,Demo,2024-09-13,330,Follow-up call
518,Call,2024-03-11,2729,Proposal review
519,Demo,2024-03-17,4967,Email sent
520,Email,2024-06-16,2610,Product demo scheduled
521,Demo,2024-11-11,2452,Email sent
522,Meeting,2024-09-16,4176,Email sent
523,Demo,2024-12-28,4612,Client discussion
524,Demo,2024-01-09,3018,Client discussion
525,Call,2024-08-01,4782,Client discussion
526,Call,2024-11-01,3888,Client discussion
527,Email,2024-01-27,4781,Proposal review
528,Email,2024-09-25,3115,Product demo scheduled
529,Email,2024-01-17,4691,Follow-up call
530,Email,2024-01-10,3613,Client discussion
531,Demo,2024-03-18,3383,Product demo scheduled
532,Demo,2024-09-13,3864,Follow-up call
533,Email,2024-09-22,1699,Email sent
534,Meeting,2024-12-05,3919,Email sent
535,Demo,2024-06-09,1419,Proposal review
536,Meeting,2024-10-06,2903,Client discussion
537,Demo,2024-04-08,2020,Client discussion
538,Meeting,2024-04-25,2439,Client discussion
539,Email,2024-12-19,4006,Client discussion
540,Demo,2024-06-27,4592,Client discussion
541,Meeting,2024-03-03,4698,Email sent
542,Demo,2024-07-21,2828,Product demo scheduled
543,Meeting,2024-01-22,2357,Follow-up call
544,Meeting,2024-08-14,2101,Proposal review
545,Email,2024-04-13,4413,Client discussion
546,Meeting,2024-03-11,895,Email sent
547,Email,2024-05-04,416,Email sent
548,Email,2024-11-22,1908,Follow-up call
549,Call,2024-07-30,2706,Proposal review
550,Call,2024-12-14,1127,Follow-up call
551,Email,2024-07-27,3897,Proposal review
552,Email,2024-05-27,2632,Client discussion
553,Call,2024-02-15,4704,Product demo scheduled
554,Call,2024-03-30,3424,Product demo scheduled
555,Call,2024-07-22,4059,Product demo scheduled
556,Meeting,2024-01-20,76,Client discussion
557,Call,2024-06-20,2332,Proposal review
558,Demo,2024-03-09,4131,Proposal review
559,Meeting,2024-04-08,923,Client discussion
560,Email,2024-08-22,2108,Product demo scheduled
561,Call,2024-06-21,2417,Email sent
562,Email,2024-03-30,3322,Proposal review
563,Meeting,2024-02-14,3284,Follow-up call
564,Email,2024-03-12,3912,Client discussion
565,Email,2024-01-04,2137,Proposal review
566,Email,2024-08-16,2188,Client discussion
567,Meeting,2024-10-25,4694,Follow-up call
568,Meeting,2024-11-30,2946,Product demo scheduled
569,Call,2024-12-07,969,Proposal review
570,Meeting,2024-03-22,3322,Email sent
571,Meeting,2024-12-19,962,Client discussion
572,Meeting,2024-11-10,1810,Product demo scheduled
573,Email,2024-09-01,1255,Proposal review
574,Meeting,2024-07-31,4500,Proposal review
575,Email,2024-05-06,4881,Follow-up call
576,Demo,2024-09-27,2964,Follow-up call
577,Call,2024-02-01,4487,Email sent
578,Email,2024-10-20,4397,Product demo scheduled
579,Email,2024-06-16,4263,Proposal review
580,Call,2024-12-14,1683,Email sent
581,Demo,2024-02-16,4181,Proposal review
582,Call,2024-08-20,1081,Email sent
583,Demo,2024-08-21,4620,Follow-up call
584,Demo,2024-12-10,2525,Follow-up call
585,Demo,2024-05-10,25,Product demo scheduled
586,Call,2024-01-24,3471,Client discussion
587,Call,2024-10-04,494,Follow-up call
588,Demo,2024-01-17,2352,Proposal review
589,Email,2024-03-10,3444,Client discussion
590,Demo,2024-08-17,3093,Proposal review
591,Call,2024-12-15,4418,Product demo scheduled
592,Meeting,2024-03-01,1463,Email sent
593,Demo,2024-09-27,1044,Product demo scheduled
594,Call,2024-01-12,2445,Proposal review
595,Demo,2024-09-29,3108,Product demo scheduled
596,Email,2024-08-23,2836,Product demo scheduled
597,Meeting,2024-04-06,925,Follow-up call
598,Demo,2024-11-10,129,Product demo scheduled
599,Email,2024-02-04,827,Email sent
600,Call,2024-08-16,4898,Follow-up call
601,Email,2024-01-23,3296,Proposal review
602,Email,2024-10-03,1780,Follow-up call
603,Email,2024-09-14,2370,Product demo scheduled
604,Meeting,2024-10-22,4899,Client discussion
605,Email,2024-06-03,1174,Email sent
606,Email,2024-07-30,2462,Client discussion
607,Call,2024-10-12,4847,Product demo scheduled
608,Demo,2024-10-11,4061,Follow-up call
609,Meeting,2024-11-25,3123,Email sent
610,Meeting,2024-12-22,3411,Proposal review
611,Email,2024-06-02,3084,Product demo scheduled
612,Demo,2024-05-03,1847,Client discussion
613,Email,2024-08-25,473,Email sent
614,Demo,2024-08-01,4566,Email sent
615,Email,2024-07-17,1990,Client discussion
616,Email,2024-06-18,648,Proposal review
617,Meeting,2024-02-17,4388,Product demo scheduled
618,Call,2024-05-17,3090,Email sent
619,Call,2024-02-07,1542,Email sent
620,Email,2024-09-02,1712,Client discussion
621,Meeting,2024-01-08,1736,Product demo scheduled
622,Call,2024-09-02,1988,Email sent
623,Email,2024-07-22,1961,Email sent
624,Meeting,2024-05-24,3119,Proposal review
625,Meeting,2024-06-06,2143,Client discussion
626,Demo,2024-08-26,808,Proposal review
627,Meeting,2024-04-14,3037,Client discussion
628,Demo,2024-01-24,4609,Product demo scheduled
