opportunity_id,opportunity_name,stage,deal_value,probability,expected_close_date,customer_id
485,Deal_485,Proposal,1789308,73,2025-10-15,167
486,Deal_486,Won,3211035,96,2025-06-10,490
487,Deal_487,Proposal,4522193,69,2025-06-25,280
488,Deal_488,Negotiation,4111597,56,2025-04-09,491
489,Deal_489,Proposal,4731570,57,2025-06-02,116
490,Deal_490,Negotiation,1788772,58,2025-12-20,361
491,Deal_491,Won,4074882,90,2025-06-28,287
492,Deal_492,Negotiation,1072354,58,2025-10-21,347
493,Deal_493,Lost,3359578,22,2025-06-26,489
494,Deal_494,Proposal,402879,58,2025-05-28,490
495,Deal_495,Prospecting,3760919,62,2025-12-02,132
496,Deal_496,Won,1745069,86,2025-10-03,139
497,Deal_497,Lost,2328526,32,2025-03-12,56
498,Deal_498,Lost,4972691,33,2025-05-03,125
499,Deal_499,Prospecting,1943070,73,2025-11-23,120
500,Deal_500,Prospecting,3517023,46,2025-06-19,368
501,Deal_501,Won,1203157,83,2025-01-03,494
502,Deal_502,Lost,1374905,39,2025-07-28,335
503,Deal_503,Won,1723157,95,2025-05-28,165
504,Deal_504,Negotiation,800450,43,2025-11-30,294
